cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 35.8431,Extrapolation: Pe: -1.5 - -1; 2.75 - 6
idle,1.376507,0.002005697,0.001752897,0.01615565,1.380086E+11,0.9635555
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0,0,0,0,0,0
-0.75,0.8790235,0.002666262,0.002785238,0.01673115,1.645648E+11,0.6153164
-0.5,1.904084,0.003848762,0.004275592,0.03401367,2.920443E+11,1.332859
-0.25,5.697113,0.007859536,0.006945562,0.08486276,8.163432E+11,3.987979
0,8.883007,0.008598961,0.006827178,0.09229819,1.067583E+12,6.218109
0.25,18.01808,0.01146575,0.009175898,0.1116874,1.841182E+12,12.61265
0.5,24.39836,0.01241695,0.01186564,0.1126823,1.87258E+12,17.07885
0.75,38.02226,0.01444621,0.01461317,0.137715,1.851751E+12,26.6156
1,47.50844,0.01625567,0.01224289,0.1454152,1.892306E+12,33.25591
1.25,61.9132,0.01886182,0.01586161,0.1843381,2.833172E+12,43.33924
1.5,75.19514,0.01997294,0.01662316,0.209455,3.448442E+12,52.63661
1.75,85.98783,0.02163267,0.01562793,0.2509402,5.085981E+12,60.19149
2,94.86199,0.02176457,0.01543293,0.2635646,5.766714E+12,66.4034
2.25,108.6292,0.02403683,0.01622056,0.3063242,6.765609E+12,76.04046
2.5,112.6663,0.02535756,0.01723059,0.3284127,6.821624E+12,78.8664
2.75,123.9329,0.02789332,0.01895365,0.3612539,7.503786E+12,86.75304
3,135.1996,0.03042907,0.02067672,0.3940952,8.185948E+12,94.63969
3.25,146.4662,0.03296483,0.02239978,0.4269365,8.86811E+12,102.5263
3.5,157.7328,0.03550059,0.02412284,0.4597777,9.550273E+12,110.413
3.75,168.9995,0.03803634,0.0258459,0.492619,1.023244E+13,118.2996
4,180.2661,0.0405721,0.02756896,0.5254603,1.09146E+13,126.1863
4.25,191.5327,0.04310786,0.02929202,0.5583016,1.159676E+13,134.0729
4.5,202.7993,0.04564361,0.03101508,0.5911428,1.227892E+13,141.9595
4.75,214.066,0.04817937,0.03273814,0.6239841,1.296109E+13,149.8462
5,225.3326,0.05071513,0.0344612,0.6568254,1.364325E+13,157.7328
5.25,236.5992,0.05325088,0.03618426,0.6896666,1.432541E+13,165.6195
5.5,247.8659,0.05578664,0.03790731,0.7225079,1.500757E+13,173.5061
5.75,259.1325,0.0583224,0.03963037,0.7553492,1.568974E+13,181.3927
6,270.3991,0.06085815,0.04135343,0.7881904,1.63719E+13,189.2794
