c Fleet composition for link of PHEMLight with NITRA,,
c,,
c fleet segment,vehicle segment,share
BUS,HDV_CB_CNG_EU6,0.0120210368144257
BUS,HDV_CB_D_EU2,0.0255447032306533
BUS,HDV_CB_D_EU3,0.147257700976709
BUS,HDV_CB_D_EU4,0.105184072126222
BUS,HDV_CB_D_EU5,0.363636363636363
BUS,HDV_CB_D_EU6,0.0277986476333591
BUS,HDV_CO_D_EU0,0
BUS,HDV_CO_D_EU1,0
BUS,HDV_CO_D_EU2,0.0120210368144245
BUS,HDV_CO_D_EU3,0.132231404958678
BUS,HDV_CO_D_EU4,0.0646130728775353
BUS,HDV_CO_D_EU5,0.0458302028549958
BUS,HDV_CO_D_EU6,0.0120210368144257
BUS,HDV_CB_D_EU0,0
BUS,HDV_CB_D_EU1,0
BUS,HDV_CB_D_HEV_EU6,0.0518407212622093
HDV,HDV_RT_I_D_EU0,0.00876068376068859
HDV,HDV_RT_I_D_EU1,0.0121794871794896
HDV,HDV_RT_II_D_EU0,0.000641025641025635
HDV,HDV_RT_II_D_EU1,0.00170940170940232
HDV,HDV_RT_II_D_EU2,0.00790598290597812
HDV,HDV_RT_II_D_EU3,0.0190170940170957
HDV,HDV_RT_II_D_EU4,0.0117521367521428
HDV,HDV_RT_II_D_EU5,0.00491452991452853
HDV,HDV_RT_II_D_EU6,0.00363247863247984
HDV,HDV_RT_I_D_EU2,0.064957264957263
HDV,HDV_RT_I_D_EU3,0.218803418803416
HDV,HDV_RT_I_D_EU4,0.324786324786325
HDV,HDV_RT_I_D_EU5,0.14423076923077
HDV,HDV_TT_D_EU0,0.000427350427350424
HDV,HDV_TT_D_EU1,0.00170940170940411
HDV,HDV_TT_D_EU2,0.0220085470085489
HDV,HDV_TT_D_EU3,0.0536324786324742
HDV,HDV_TT_D_EU4,0.0292735042735028
HDV,HDV_TT_D_EU5,0.0245726495726476
HDV,HDV_RT_I_D_EU6,0.0269230769230752
HDV,HDV_TT_D_EU6,0.018162393162392
PC,LCV_II_D_EU0,0.000691881918819
PC,LCV_II_D_EU1,0.001124308118081
PC,LCV_II_D_EU2,0.008043127306273
PC,LCV_II_D_EU3,0.032965290590406
PC,LCV_II_D_EU4,0.048993888376384
PC,LCV_II_D_EU5,0.068899907749078
PC,LCV_II_D_EU6,0.009830488929889
PC,LCV_II_G_EU0,0.000547739852399
PC,LCV_II_G_EU1,7.2071033210332e-05
PC,LCV_II_G_EU2,0.000504497232472
PC,LCV_II_G_EU3,0.001124308118081
PC,LCV_II_G_EU4,0.001239621771218
PC,LCV_II_G_EU5,0.000403597785978
PC,LCV_II_G_EU6,0.000158556273063
PC,PC_D_EU0,0
PC,PC_D_EU1,0.002522486162361
PC,PC_D_EU2,0.026132956642066
PC,PC_D_EU3,0.101360701107011
PC,PC_D_EU4,0.148235701107011
PC,PC_D_EU5,0.159262569188192
PC,PC_D_EU6,0.114405558118081
PC,LCV_I_D_EU4,0.010378228782288
PC,LCV_I_D_EU5,0.008533210332103
PC,LCV_I_D_EU6,0.001729704797048
PC,LCV_I_D_EU6c,0.000331526752768
PC,LCV_I_G_EU3,0.023480742619926
PC,LCV_I_G_EU4,0.027862661439114
PC,LCV_I_G_EU5,0.027776176199262
PC,LCV_I_G_EU6c,0.035300392066421
PC,PC_G_EU0,0.001340521217712
PC,PC_G_EU1,0.004497232472325
PC,PC_G_EU2,0.018522255535056
PC,PC_G_EU3,0.039494926199262
PC,PC_G_EU4,0.031581526752768
PC,PC_G_EU5,0.012670087638376
PC,PC_G_EU6c,0.008706180811808
PC,LCV_I_G_EU1,0.002291858856089
PC,LCV_I_G_EU2,0.009426891143911
